5000 1187725
33 93 0.166667
88 248 1
279 339 0.045723
110 310 0.05
110 310 0.05
44 124 1
22 62 0.25
186 226 0.068584
837 1017 1
55 155 0.1
99 279 0.055556
372 452 1
744 904 0.017146
77 217 1
837 1017 1
110 310 0.05
372 452 0.034292
372 452 1
55 155 1
930 1130 1
372 452 1
744 904 0.017146
33 93 1
372 452 0.034292
744 904 1
110 310 1
279 339 1
279 339 0.045723
651 791 0.019595
11 31 0.5
22 62 0.25
99 279 1
465 565 1
55 155 1
88 248 1
930 1130 0.013717
22 62 1
11 31 1
651 791 0.019595
372 452 1
66 186 0.083333
11 31 1
55 155 1
186 226 0.068584
930 1130 1
744 904 0.017146
372 452 1
279 339 0.045723
93 113 1
99 279 0.055556
22 62 0.25
186 226 1
558 678 1
372 452 0.034292
930 1130 1
55 155 1
77 217 0.071429
44 124 1
93 113 0.137168
279 339 1
99 279 0.055556
99 279 0.055556
44 124 0.125
66 186 1
930 1130 0.013717
55 155 1
186 226 0.068584
372 452 1
744 904 0.017146
930 1130 0.013717
465 565 1
77 217 1
88 248 1
77 217 0.071429
744 904 0.017146
372 452 0.034292
88 248 0.0625
66 186 0.083333
279 339 0.045723
558 678 1
33 93 1
11 31 0.5
372 452 1
279 339 0.045723
11 31 1
186 226 1
110 310 0.05
99 279 1
837 1017 0.015241
837 1017 1
66 186 0.083333
55 155 1
22 62 1
77 217 1
44 124 0.125
33 93 1
279 339 1
44 124 1
11 31 0.5
279 339 0.045723
77 217 0.071429
66 186 1
55 155 1
651 791 1
22 62 0.25
77 217 1
66 186 1
88 248 1
930 1130 1
55 155 0.1
11 31 1
55 155 1
88 248 0.0625
22 62 1
930 1130 1
33 93 1
930 1130 0.013717
66 186 1
558 678 0.022861
55 155 1
11 31 0.5
11 31 0.5
33 93 1
465 565 1
93 113 0.137168
837 1017 0.015241
372 452 1
837 1017 0.015241
186 226 1
930 1130 0.013717
110 310 1
11 31 1
33 93 1
186 226 0.068584
44 124 1
11 31 0.5
66 186 0.083333
279 339 1
372 452 0.034292
88 248 0.0625
44 124 0.125
279 339 1
55 155 0.1
930 1130 0.013717
186 226 1
744 904 0.017146
44 124 1
77 217 1
88 248 1
77 217 1
186 226 0.068584
110 310 1
55 155 0.1
44 124 0.125
930 1130 0.013717
93 113 0.137168
44 124 0.125
744 904 1
99 279 1
558 678 0.022861
55 155 0.1
651 791 0.019595
33 93 1
651 791 0.019595
93 113 1
88 248 0.0625
77 217 0.071429
93 113 0.137168
930 1130 1
77 217 0.071429
88 248 1
44 124 0.125
110 310 1
465 565 0.027434
22 62 1
33 93 0.166667
110 310 1
744 904 0.017146
55 155 0.1
33 93 0.166667
558 678 1
837 1017 0.015241
93 113 1
110 310 0.05
93 113 0.137168
837 1017 0.015241
93 113 0.137168
279 339 0.045723
88 248 0.0625
77 217 0.071429
465 565 0.027434
651 791 1
33 93 1
55 155 1
22 62 1
837 1017 1
110 310 0.05
930 1130 0.013717
651 791 1
44 124 0.125
837 1017 1
77 217 1
93 113 0.137168
77 217 0.071429
465 565 1
44 124 0.125
93 113 1
93 113 1
558 678 0.022861
837 1017 0.015241
110 310 0.05
558 678 0.022861
558 678 0.022861
88 248 1
558 678 1
99 279 1
88 248 0.0625
33 93 1
22 62 1
651 791 1
11 31 1
11 31 0.5
837 1017 1
88 248 1
88 248 0.0625
651 791 1
33 93 0.166667
33 93 0.166667
651 791 0.019595
110 310 1
88 248 0.0625
744 904 1
77 217 1
66 186 1
279 339 0.045723
22 62 0.25
110 310 1
88 248 1
837 1017 1
77 217 1
930 1130 0.013717
22 62 1
372 452 1
22 62 1
651 791 0.019595
651 791 0.019595
930 1130 1
44 124 0.125
744 904 1
110 310 0.05
77 217 1
88 248 0.0625
372 452 1
99 279 0.055556
110 310 0.05
88 248 0.0625
44 124 0.125
744 904 0.017146
930 1130 0.013717
930 1130 1
558 678 0.022861
55 155 1
279 339 0.045723
279 339 1
66 186 0.083333
11 31 1
744 904 0.017146
33 93 1
186 226 1
55 155 0.1
110 310 0.05
930 1130 0.013717
186 226 0.068584
55 155 0.1
651 791 1
110 310 0.05
186 226 1
66 186 1
22 62 1
744 904 0.017146
99 279 0.055556
279 339 1
744 904 0.017146
651 791 1
88 248 0.0625
33 93 0.166667
186 226 0.068584
837 1017 0.015241
744 904 1
465 565 0.027434
744 904 1
110 310 0.05
88 248 1
44 124 1
22 62 0.25
744 904 0.017146
744 904 0.017146
88 248 0.0625
93 113 1
651 791 1
93 113 1
22 62 0.25
465 565 0.027434
33 93 1
279 339 1
22 62 1
66 186 1
558 678 0.022861
279 339 1
744 904 1
93 113 0.137168
186 226 0.068584
186 226 0.068584
11 31 0.5
465 565 0.027434
372 452 0.034292
44 124 0.125
11 31 0.5
744 904 0.017146
44 124 1
66 186 1
66 186 0.083333
99 279 1
837 1017 0.015241
372 452 1
11 31 1
93 113 0.137168
186 226 0.068584
744 904 0.017146
279 339 0.045723
558 678 0.022861
651 791 1
744 904 0.017146
88 248 1
651 791 1
93 113 0.137168
837 1017 1
744 904 1
55 155 1
44 124 0.125
110 310 1
372 452 0.034292
99 279 1
66 186 1
55 155 0.1
22 62 0.25
279 339 0.045723
744 904 1
279 339 0.045723
372 452 0.034292
66 186 0.083333
930 1130 0.013717
372 452 0.034292
11 31 0.5
465 565 0.027434
55 155 0.1
558 678 1
22 62 1
372 452 0.034292
66 186 0.083333
110 310 1
44 124 0.125
66 186 1
11 31 1
110 310 0.05
279 339 1
66 186 0.083333
372 452 0.034292
744 904 0.017146
186 226 1
66 186 0.083333
744 904 0.017146
372 452 1
44 124 1
651 791 0.019595
11 31 0.5
744 904 0.017146
744 904 1
930 1130 0.013717
55 155 0.1
465 565 0.027434
558 678 1
110 310 0.05
66 186 1
99 279 1
44 124 1
558 678 1
279 339 0.045723
837 1017 1
88 248 0.0625
186 226 1
93 113 0.137168
66 186 1
11 31 0.5
558 678 0.022861
930 1130 0.013717
99 279 0.055556
465 565 0.027434
651 791 0.019595
11 31 1
93 113 1
558 678 0.022861
837 1017 1
22 62 0.25
837 1017 1
66 186 1
558 678 1
651 791 0.019595
558 678 0.022861
22 62 0.25
372 452 1
651 791 1
372 452 1
33 93 1
110 310 1
837 1017 0.015241
837 1017 1
558 678 1
88 248 0.0625
930 1130 1
66 186 0.083333
66 186 0.083333
33 93 1
66 186 1
93 113 1
110 310 0.05
465 565 0.027434
558 678 0.022861
744 904 1
372 452 1
930 1130 1
77 217 0.071429
558 678 0.022861
99 279 0.055556
651 791 0.019595
930 1130 0.013717
33 93 1
110 310 1
186 226 0.068584
837 1017 0.015241
77 217 0.071429
33 93 1
99 279 0.055556
77 217 1
651 791 0.019595
44 124 1
372 452 1
55 155 1
22 62 0.25
744 904 1
99 279 1
110 310 1
465 565 1
186 226 0.068584
55 155 1
44 124 1
77 217 1
88 248 0.0625
558 678 0.022861
77 217 0.071429
66 186 1
279 339 0.045723
55 155 1
11 31 1
744 904 0.017146
279 339 0.045723
372 452 1
88 248 1
930 1130 1
11 31 0.5
93 113 0.137168
651 791 1
279 339 0.045723
651 791 0.019595
465 565 1
55 155 0.1
55 155 0.1
33 93 0.166667
465 565 0.027434
186 226 1
651 791 1
33 93 1
372 452 0.034292
651 791 0.019595
837 1017 1
110 310 1
837 1017 1
55 155 0.1
88 248 1
99 279 0.055556
33 93 1
33 93 1
77 217 1
651 791 0.019595
110 310 1
33 93 0.166667
465 565 0.027434
22 62 0.25
651 791 0.019595
110 310 1
66 186 0.083333
93 113 1
110 310 0.05
558 678 0.022861
110 310 1
77 217 0.071429
55 155 1
66 186 1
11 31 0.5
558 678 1
837 1017 0.015241
465 565 1
66 186 0.083333
930 1130 0.013717
99 279 0.055556
465 565 1
837 1017 1
372 452 0.034292
930 1130 1
77 217 0.071429
93 113 0.137168
930 1130 1
99 279 0.055556
930 1130 1
558 678 1
558 678 0.022861
99 279 0.055556
744 904 0.017146
93 113 1
22 62 0.25
930 1130 1
372 452 1
99 279 0.055556
372 452 0.034292
93 113 1
651 791 1
651 791 1
99 279 0.055556
651 791 1
44 124 1
22 62 0.25
744 904 1
11 31 0.5
44 124 1
837 1017 1
11 31 1
44 124 0.125
88 248 0.0625
77 217 0.071429
77 217 1
88 248 1
33 93 0.166667
22 62 0.25
66 186 1
66 186 1
44 124 0.125
930 1130 0.013717
186 226 0.068584
837 1017 0.015241
930 1130 0.013717
372 452 1
55 155 0.1
11 31 1
110 310 1
651 791 0.019595
88 248 0.0625
55 155 0.1
837 1017 0.015241
93 113 1
77 217 1
77 217 0.071429
651 791 1
22 62 1
44 124 0.125
44 124 1
33 93 0.166667
44 124 1
372 452 1
186 226 1
93 113 0.137168
930 1130 0.013717
186 226 0.068584
66 186 0.083333
88 248 1
279 339 1
77 217 0.071429
66 186 0.083333
33 93 1
372 452 1
88 248 0.0625
372 452 0.034292
66 186 0.083333
558 678 0.022861
99 279 0.055556
77 217 1
44 124 1
44 124 1
11 31 1
99 279 1
465 565 0.027434
55 155 0.1
77 217 0.071429
33 93 1
93 113 0.137168
186 226 0.068584
11 31 1
279 339 0.045723
651 791 1
44 124 1
77 217 0.071429
110 310 0.05
93 113 0.137168
279 339 0.045723
33 93 0.166667
55 155 0.1
99 279 1
33 93 0.166667
22 62 0.25
33 93 0.166667
651 791 0.019595
110 310 0.05
279 339 0.045723
93 113 0.137168
77 217 0.071429
66 186 1
372 452 1
88 248 1
744 904 0.017146
77 217 1
651 791 0.019595
279 339 1
22 62 0.25
651 791 1
837 1017 1
55 155 1
66 186 0.083333
33 93 1
372 452 1
11 31 1
372 452 0.034292
465 565 0.027434
837 1017 0.015241
372 452 0.034292
186 226 0.068584
88 248 1
66 186 0.083333
372 452 0.034292
744 904 0.017146
88 248 0.0625
33 93 1
77 217 1
186 226 0.068584
651 791 0.019595
11 31 0.5
33 93 1
22 62 1
22 62 0.25
186 226 0.068584
99 279 0.055556
110 310 0.05
22 62 1
99 279 0.055556
744 904 1
55 155 0.1
930 1130 1
55 155 0.1
99 279 0.055556
44 124 0.125
77 217 1
33 93 0.166667
66 186 0.083333
279 339 0.045723
11 31 0.5
55 155 1
99 279 1
11 31 0.5
186 226 0.068584
372 452 0.034292
372 452 1
558 678 1
558 678 1
558 678 1
837 1017 1
744 904 1
110 310 1
744 904 1
11 31 1
110 310 1
33 93 0.166667
837 1017 0.015241
22 62 1
279 339 0.045723
837 1017 1
77 217 0.071429
22 62 0.25
279 339 1
33 93 1
744 904 1
44 124 1
279 339 0.045723
110 310 0.05
558 678 1
837 1017 1
558 678 0.022861
837 1017 0.015241
558 678 1
33 93 0.166667
93 113 0.137168
110 310 1
837 1017 1
88 248 0.0625
66 186 0.083333
22 62 1
77 217 0.071429
55 155 0.1
279 339 0.045723
33 93 1
110 310 0.05
558 678 1
651 791 0.019595
55 155 0.1
110 310 1
651 791 0.019595
99 279 1
99 279 1
93 113 1
77 217 0.071429
279 339 0.045723
930 1130 1
11 31 1
186 226 0.068584
66 186 0.083333
651 791 1
11 31 0.5
11 31 0.5
744 904 0.017146
651 791 1
66 186 0.083333
93 113 0.137168
372 452 1
88 248 0.0625
837 1017 1
279 339 0.045723
99 279 0.055556
930 1130 0.013717
930 1130 1
279 339 0.045723
55 155 1
279 339 0.045723
372 452 1
22 62 0.25
465 565 1
930 1130 1
93 113 1
110 310 0.05
279 339 1
77 217 0.071429
22 62 0.25
279 339 1
44 124 0.125
651 791 1
33 93 1
99 279 0.055556
651 791 1
88 248 1
22 62 1
837 1017 0.015241
279 339 0.045723
99 279 0.055556
93 113 0.137168
77 217 1
77 217 0.071429
837 1017 1
651 791 0.019595
651 791 1
77 217 0.071429
110 310 1
651 791 0.019595
11 31 0.5
930 1130 1
66 186 0.083333
837 1017 0.015241
88 248 0.0625
77 217 1
279 339 0.045723
651 791 0.019595
930 1130 0.013717
55 155 0.1
77 217 1
99 279 0.055556
44 124 0.125
651 791 1
66 186 1
372 452 0.034292
558 678 0.022861
837 1017 0.015241
99 279 0.055556
186 226 0.068584
66 186 0.083333
930 1130 1
66 186 1
77 217 1
372 452 1
558 678 0.022861
88 248 1
930 1130 0.013717
279 339 1
110 310 0.05
744 904 0.017146
186 226 0.068584
33 93 0.166667
33 93 0.166667
651 791 0.019595
55 155 1
837 1017 0.015241
279 339 0.045723
22 62 0.25
77 217 1
77 217 0.071429
22 62 1
372 452 1
88 248 0.0625
77 217 0.071429
110 310 0.05
33 93 0.166667
372 452 1
66 186 0.083333
372 452 0.034292
88 248 1
837 1017 1
930 1130 0.013717
44 124 1
558 678 0.022861
930 1130 1
33 93 1
465 565 1
66 186 0.083333
44 124 1
558 678 1
279 339 1
66 186 1
465 565 1
44 124 0.125
110 310 1
279 339 1
930 1130 0.013717
744 904 0.017146
11 31 0.5
99 279 1
93 113 1
44 124 1
186 226 1
93 113 0.137168
99 279 0.055556
558 678 1
372 452 0.034292
55 155 0.1
22 62 0.25
279 339 1
55 155 0.1
77 217 1
372 452 1
66 186 1
88 248 0.0625
93 113 1
110 310 0.05
110 310 0.05
110 310 0.05
99 279 1
55 155 1
558 678 1
11 31 1
186 226 0.068584
22 62 0.25
22 62 0.25
88 248 0.0625
93 113 1
44 124 0.125
372 452 1
744 904 1
744 904 1
33 93 0.166667
279 339 1
77 217 0.071429
77 217 1
44 124 0.125
744 904 0.017146
55 155 0.1
837 1017 1
11 31 1
372 452 1
372 452 1
22 62 1
93 113 0.137168
279 339 0.045723
99 279 0.055556
744 904 1
930 1130 0.013717
651 791 1
93 113 0.137168
99 279 1
930 1130 0.013717
99 279 0.055556
33 93 1
110 310 1
930 1130 0.013717
99 279 1
93 113 1
110 310 0.05
372 452 0.034292
99 279 0.055556
110 310 1
372 452 1
88 248 0.0625
44 124 1
33 93 1
744 904 0.017146
110 310 1
44 124 0.125
186 226 1
465 565 0.027434
99 279 0.055556
93 113 0.137168
88 248 1
465 565 1
186 226 1
66 186 1
558 678 0.022861
465 565 1
22 62 1
22 62 0.25
110 310 1
44 124 1
11 31 1
186 226 0.068584
110 310 1
55 155 0.1
77 217 0.071429
465 565 0.027434
110 310 0.05
558 678 0.022861
837 1017 0.015241
186 226 0.068584
930 1130 0.013717
33 93 1
33 93 0.166667
930 1130 1
22 62 1
55 155 1
744 904 0.017146
55 155 1
279 339 1
88 248 1
44 124 0.125
279 339 1
44 124 1
558 678 0.022861
22 62 1
744 904 1
66 186 1
186 226 1
99 279 0.055556
11 31 1
77 217 1
279 339 0.045723
93 113 1
33 93 0.166667
77 217 0.071429
558 678 0.022861
22 62 0.25
558 678 0.022861
11 31 0.5
279 339 1
55 155 0.1
77 217 0.071429
55 155 1
55 155 0.1
44 124 0.125
11 31 1
372 452 1
93 113 0.137168
88 248 0.0625
186 226 0.068584
651 791 0.019595
33 93 1
99 279 0.055556
558 678 0.022861
66 186 1
33 93 0.166667
99 279 0.055556
99 279 1
11 31 1
186 226 0.068584
186 226 1
279 339 1
372 452 0.034292
110 310 1
99 279 1
651 791 0.019595
837 1017 0.015241
66 186 1
22 62 0.25
11 31 0.5
558 678 0.022861
558 678 0.022861
55 155 1
744 904 0.017146
372 452 1
465 565 0.027434
88 248 1
11 31 0.5
465 565 0.027434
44 124 0.125
22 62 0.25
33 93 0.166667
837 1017 0.015241
77 217 0.071429
465 565 1
465 565 0.027434
465 565 0.027434
88 248 1
558 678 1
88 248 1
465 565 1
11 31 0.5
465 565 0.027434
930 1130 1
651 791 1
11 31 1
11 31 0.5
465 565 1
558 678 0.022861
651 791 0.019595
99 279 1
186 226 1
77 217 0.071429
44 124 1
279 339 1
93 113 0.137168
279 339 1
279 339 1
22 62 0.25
558 678 1
279 339 0.045723
99 279 0.055556
465 565 1
93 113 1
930 1130 0.013717
66 186 0.083333
66 186 1
77 217 1
88 248 0.0625
99 279 1
372 452 1
93 113 1
33 93 0.166667
99 279 0.055556
279 339 0.045723
66 186 1
372 452 1
33 93 1
465 565 1
279 339 0.045723
44 124 0.125
33 93 0.166667
93 113 1
837 1017 0.015241
651 791 0.019595
930 1130 1
99 279 1
186 226 1
66 186 1
55 155 0.1
110 310 1
22 62 0.25
66 186 1
93 113 0.137168
33 93 1
651 791 1
372 452 1
930 1130 0.013717
465 565 1
930 1130 1
279 339 0.045723
33 93 1
558 678 0.022861
66 186 0.083333
465 565 1
651 791 1
22 62 1
651 791 1
93 113 0.137168
66 186 1
279 339 1
558 678 1
110 310 0.05
22 62 0.25
99 279 0.055556
110 310 1
77 217 0.071429
837 1017 0.015241
744 904 1
22 62 1
88 248 1
110 310 1
186 226 0.068584
11 31 1
186 226 1
558 678 0.022861
44 124 0.125
372 452 1
33 93 1
465 565 1
837 1017 1
44 124 0.125
558 678 1
66 186 1
77 217 1
33 93 0.166667
77 217 1
744 904 0.017146
372 452 1
372 452 1
88 248 0.0625
22 62 1
372 452 0.034292
99 279 0.055556
44 124 1
744 904 0.017146
66 186 1
77 217 0.071429
651 791 1
465 565 1
88 248 1
77 217 1
88 248 0.0625
930 1130 1
11 31 0.5
93 113 1
279 339 0.045723
465 565 1
372 452 0.034292
837 1017 1
66 186 1
744 904 1
186 226 1
66 186 0.083333
651 791 0.019595
930 1130 0.013717
186 226 0.068584
558 678 1
22 62 0.25
99 279 1
77 217 1
11 31 0.5
33 93 0.166667
465 565 1
744 904 1
279 339 0.045723
99 279 0.055556
66 186 0.083333
744 904 1
88 248 0.0625
651 791 1
651 791 0.019595
22 62 0.25
930 1130 1
465 565 0.027434
77 217 0.071429
110 310 0.05
279 339 1
44 124 1
11 31 1
93 113 1
88 248 1
110 310 1
930 1130 1
110 310 1
93 113 0.137168
110 310 1
44 124 1
55 155 1
372 452 0.034292
186 226 1
279 339 1
77 217 1
66 186 0.083333
186 226 1
558 678 0.022861
93 113 0.137168
33 93 0.166667
77 217 1
77 217 1
110 310 1
88 248 1
372 452 1
88 248 1
93 113 1
22 62 1
558 678 0.022861
930 1130 0.013717
93 113 1
33 93 0.166667
186 226 0.068584
558 678 1
33 93 0.166667
186 226 0.068584
55 155 0.1
744 904 1
110 310 1
837 1017 1
186 226 0.068584
55 155 0.1
186 226 0.068584
465 565 0.027434
110 310 1
99 279 0.055556
66 186 0.083333
55 155 1
22 62 1
186 226 0.068584
651 791 1
372 452 0.034292
33 93 0.166667
372 452 0.034292
44 124 0.125
465 565 1
55 155 0.1
22 62 0.25
372 452 1
11 31 0.5
930 1130 0.013717
93 113 1
55 155 1
837 1017 0.015241
93 113 1
279 339 0.045723
44 124 0.125
44 124 1
33 93 1
558 678 0.022861
279 339 0.045723
93 113 0.137168
930 1130 0.013717
77 217 0.071429
33 93 1
88 248 0.0625
99 279 0.055556
44 124 1
55 155 1
110 310 1
465 565 1
372 452 0.034292
558 678 1
837 1017 0.015241
33 93 1
279 339 1
279 339 1
837 1017 0.015241
930 1130 1
88 248 1
44 124 0.125
372 452 1
930 1130 0.013717
930 1130 1
88 248 1
186 226 0.068584
372 452 0.034292
651 791 0.019595
110 310 1
651 791 1
465 565 1
651 791 1
465 565 1
837 1017 0.015241
110 310 1
279 339 1
110 310 1
44 124 1
22 62 1
11 31 1
279 339 1
33 93 0.166667
558 678 0.022861
22 62 1
66 186 0.083333
186 226 1
930 1130 0.013717
66 186 0.083333
88 248 0.0625
66 186 0.083333
558 678 1
55 155 1
930 1130 1
372 452 1
744 904 1
279 339 1
465 565 0.027434
88 248 1
33 93 0.166667
33 93 0.166667
55 155 0.1
558 678 1
44 124 0.125
744 904 1
93 113 1
44 124 0.125
651 791 1
44 124 0.125
55 155 0.1
77 217 0.071429
837 1017 1
88 248 1
33 93 1
930 1130 1
44 124 1
11 31 1
186 226 0.068584
744 904 1
55 155 0.1
99 279 0.055556
99 279 0.055556
186 226 0.068584
558 678 1
465 565 1
837 1017 1
558 678 1
88 248 1
77 217 1
11 31 0.5
88 248 0.0625
44 124 1
837 1017 1
93 113 1
93 113 0.137168
465 565 0.027434
651 791 0.019595
837 1017 0.015241
372 452 0.034292
744 904 0.017146
55 155 0.1
930 1130 0.013717
558 678 0.022861
558 678 0.022861
279 339 0.045723
465 565 1
88 248 0.0625
837 1017 1
11 31 1
66 186 1
44 124 1
651 791 0.019595
651 791 1
651 791 1
186 226 1
744 904 0.017146
33 93 1
186 226 0.068584
55 155 1
11 31 0.5
372 452 1
22 62 0.25
372 452 1
77 217 0.071429
744 904 1
372 452 0.034292
93 113 0.137168
372 452 1
558 678 0.022861
744 904 1
88 248 0.0625
33 93 0.166667
99 279 1
186 226 0.068584
837 1017 0.015241
372 452 1
22 62 0.25
837 1017 1
93 113 0.137168
744 904 1
651 791 0.019595
930 1130 0.013717
930 1130 0.013717
465 565 0.027434
651 791 0.019595
22 62 1
88 248 1
33 93 0.166667
66 186 1
930 1130 0.013717
66 186 0.083333
93 113 0.137168
44 124 1
88 248 1
11 31 1
22 62 1
77 217 0.071429
11 31 0.5
279 339 1
110 310 1
279 339 1
11 31 1
279 339 0.045723
11 31 0.5
22 62 1
99 279 1
558 678 0.022861
744 904 1
651 791 1
744 904 0.017146
77 217 0.071429
110 310 1
110 310 1
99 279 0.055556
77 217 0.071429
744 904 1
66 186 1
110 310 1
22 62 1
465 565 1
372 452 1
93 113 1
22 62 1
651 791 0.019595
744 904 1
22 62 0.25
44 124 1
110 310 1
186 226 0.068584
744 904 1
66 186 0.083333
651 791 0.019595
372 452 1
372 452 0.034292
55 155 1
88 248 0.0625
558 678 1
99 279 1
93 113 1
837 1017 0.015241
99 279 1
558 678 1
33 93 1
93 113 1
110 310 1
279 339 1
93 113 1
93 113 1
44 124 1
372 452 0.034292
44 124 1
558 678 0.022861
558 678 1
744 904 1
465 565 1
33 93 1
110 310 1
33 93 1
651 791 1
77 217 1
66 186 0.083333
99 279 1
837 1017 0.015241
66 186 1
930 1130 0.013717
186 226 1
66 186 1
110 310 1
744 904 0.017146
465 565 0.027434
186 226 1
744 904 1
372 452 0.034292
66 186 0.083333
33 93 0.166667
651 791 0.019595
77 217 0.071429
744 904 0.017146
465 565 1
99 279 0.055556
55 155 0.1
99 279 1
110 310 0.05
465 565 1
55 155 0.1
44 124 0.125
930 1130 1
88 248 0.0625
279 339 0.045723
11 31 0.5
33 93 1
44 124 1
88 248 0.0625
837 1017 0.015241
33 93 0.166667
33 93 1
465 565 0.027434
651 791 1
93 113 1
93 113 0.137168
465 565 1
11 31 1
558 678 0.022861
11 31 0.5
22 62 0.25
279 339 0.045723
110 310 0.05
372 452 1
93 113 0.137168
186 226 0.068584
651 791 0.019595
279 339 1
465 565 1
110 310 0.05
88 248 1
744 904 1
99 279 0.055556
372 452 1
88 248 1
930 1130 0.013717
77 217 1
279 339 0.045723
279 339 0.045723
558 678 1
930 1130 0.013717
77 217 0.071429
44 124 0.125
99 279 1
372 452 0.034292
93 113 0.137168
372 452 1
22 62 1
372 452 1
651 791 0.019595
465 565 0.027434
22 62 1
88 248 1
651 791 1
33 93 1
22 62 1
66 186 0.083333
651 791 1
279 339 1
33 93 0.166667
186 226 0.068584
33 93 1
837 1017 1
44 124 1
77 217 1
837 1017 0.015241
837 1017 0.015241
88 248 0.0625
930 1130 0.013717
279 339 0.045723
11 31 1
651 791 0.019595
11 31 0.5
93 113 0.137168
77 217 0.071429
11 31 0.5
99 279 1
55 155 0.1
22 62 0.25
837 1017 0.015241
22 62 0.25
11 31 1
558 678 0.022861
88 248 0.0625
22 62 1
55 155 0.1
558 678 0.022861
279 339 0.045723
66 186 0.083333
465 565 0.027434
88 248 1
93 113 1
465 565 1
110 310 1
11 31 0.5
837 1017 1
558 678 1
44 124 1
930 1130 1
465 565 0.027434
744 904 1
66 186 1
11 31 0.5
558 678 0.022861
372 452 1
651 791 0.019595
33 93 1
22 62 0.25
66 186 0.083333
372 452 0.034292
88 248 0.0625
93 113 0.137168
55 155 1
55 155 1
66 186 1
744 904 1
77 217 0.071429
651 791 1
279 339 1
465 565 0.027434
11 31 1
558 678 1
372 452 1
44 124 1
93 113 1
44 124 1
744 904 1
93 113 0.137168
44 124 0.125
110 310 0.05
11 31 0.5
110 310 0.05
93 113 0.137168
465 565 0.027434
744 904 0.017146
55 155 1
837 1017 0.015241
837 1017 1
837 1017 1
93 113 1
22 62 0.25
55 155 0.1
465 565 0.027434
66 186 1
930 1130 0.013717
465 565 1
88 248 1
99 279 0.055556
77 217 0.071429
372 452 1
99 279 0.055556
55 155 0.1
186 226 0.068584
93 113 1
33 93 1
930 1130 0.013717
22 62 1
186 226 0.068584
88 248 0.0625
930 1130 0.013717
44 124 1
558 678 1
93 113 1
186 226 0.068584
558 678 0.022861
372 452 0.034292
77 217 1
110 310 0.05
55 155 0.1
744 904 1
558 678 1
55 155 0.1
465 565 1
88 248 1
44 124 0.125
44 124 1
22 62 0.25
77 217 0.071429
99 279 0.055556
11 31 1
22 62 1
110 310 0.05
186 226 1
930 1130 0.013717
44 124 1
99 279 1
558 678 1
837 1017 0.015241
88 248 1
465 565 1
33 93 1
744 904 1
99 279 0.055556
279 339 1
22 62 1
558 678 0.022861
99 279 0.055556
930 1130 0.013717
744 904 1
99 279 1
651 791 0.019595
279 339 1
22 62 1
279 339 1
93 113 1
279 339 0.045723
837 1017 0.015241
44 124 0.125
11 31 0.5
558 678 0.022861
837 1017 0.015241
93 113 0.137168
465 565 1
837 1017 1
110 310 1
558 678 1
33 93 1
99 279 1
372 452 1
77 217 1
11 31 1
99 279 0.055556
930 1130 0.013717
33 93 0.166667
22 62 1
465 565 0.027434
22 62 0.25
33 93 0.166667
279 339 1
279 339 0.045723
88 248 0.0625
110 310 1
651 791 0.019595
558 678 0.022861
22 62 1
186 226 0.068584
372 452 0.034292
33 93 1
11 31 0.5
186 226 0.068584
44 124 0.125
11 31 0.5
93 113 0.137168
66 186 1
744 904 0.017146
837 1017 1
465 565 0.027434
66 186 1
372 452 0.034292
744 904 1
93 113 0.137168
77 217 1
11 31 0.5
66 186 1
837 1017 0.015241
110 310 1
279 339 0.045723
33 93 1
22 62 1
22 62 1
44 124 1
77 217 0.071429
33 93 1
110 310 0.05
930 1130 1
372 452 0.034292
93 113 1
93 113 1
44 124 0.125
55 155 0.1
66 186 0.083333
465 565 1
372 452 1
55 155 0.1
186 226 0.068584
465 565 0.027434
55 155 0.1
99 279 1
77 217 0.071429
930 1130 1
11 31 1
55 155 1
651 791 1
465 565 0.027434
77 217 1
279 339 0.045723
186 226 1
465 565 1
372 452 1
33 93 1
88 248 0.0625
744 904 1
88 248 0.0625
372 452 1
110 310 1
55 155 0.1
11 31 1
77 217 0.071429
930 1130 1
93 113 1
110 310 1
744 904 0.017146
744 904 1
837 1017 1
99 279 0.055556
93 113 0.137168
99 279 0.055556
110 310 0.05
558 678 1
558 678 0.022861
372 452 1
93 113 0.137168
55 155 0.1
744 904 1
93 113 1
11 31 1
33 93 1
837 1017 1
11 31 1
465 565 0.027434
837 1017 0.015241
837 1017 1
651 791 0.019595
651 791 1
186 226 1
44 124 1
33 93 1
66 186 1
99 279 1
837 1017 1
558 678 0.022861
99 279 1
93 113 0.137168
372 452 0.034292
651 791 1
66 186 0.083333
77 217 0.071429
558 678 0.022861
77 217 1
651 791 0.019595
55 155 0.1
279 339 0.045723
33 93 0.166667
837 1017 0.015241
99 279 0.055556
44 124 1
11 31 1
186 226 0.068584
77 217 1
88 248 1
55 155 1
110 310 1
651 791 1
186 226 1
93 113 0.137168
558 678 1
744 904 1
33 93 0.166667
55 155 1
558 678 0.022861
558 678 0.022861
93 113 1
88 248 0.0625
55 155 1
279 339 0.045723
77 217 1
93 113 1
558 678 1
837 1017 0.015241
44 124 1
186 226 0.068584
651 791 0.019595
77 217 1
77 217 1
66 186 1
11 31 0.5
55 155 1
33 93 1
93 113 1
93 113 0.137168
44 124 0.125
110 310 1
930 1130 1
186 226 0.068584
66 186 0.083333
11 31 1
